Entity,Code,Year,Patent applications granted - Field: Banking and finance,Patent applications granted - Field: Industry and manufacturing,Patent applications granted - Field: Energy management,Patent applications granted - Field: Physical sciences and engineering,Patent applications granted - Field: Security,Patent applications granted - Field: Life sciences,Patent applications granted - Field: Transportation,Patent applications granted - Field: Business,Patent applications granted - Field: Telecommunications,Patent applications granted - Field: Personal devices and computing
China,CHN,2015,16,67,122,44,51,154,99,83,218,610
China,CHN,2013,4,31,51,17,15,82,25,27,54,160
China,CHN,2011,2,11,39,18,5,37,8,11,25,42
China,CHN,2010,0,19,20,7,4,24,6,11,12,46
Colombia,COL,2015,0,1,0,1,0,0,0,0,0,0
Croatia,HRV,2015,0,0,0,0,0,1,0,0,0,1
Denmark,DNK,2020,0,0,0,0,1,0,0,0,2,1
Denmark,DNK,2019,0,0,0,1,0,2,3,0,4,4
Denmark,DNK,2018,1,1,0,0,1,6,6,1,6,5
Denmark,DNK,2017,2,0,0,0,1,7,1,0,4,5
Denmark,DNK,2016,0,1,1,1,1,2,2,0,3,1
Denmark,DNK,2015,1,2,3,0,0,10,3,2,5,8
Denmark,DNK,2013,0,0,1,1,0,4,0,0,0,2
Denmark,DNK,2014,0,2,1,0,0,7,2,0,2,2
Denmark,DNK,2012,0,0,1,0,0,3,0,0,1,3
Denmark,DNK,2011,0,1,3,0,0,3,2,0,0,1
Denmark,DNK,2010,0,0,0,0,0,3,0,0,0,1
Finland,FIN,2020,0,0,0,0,0,0,0,0,1,1
Finland,FIN,2019,0,0,0,0,0,0,0,0,2,1
Finland,FIN,2017,0,0,0,0,0,1,0,0,1,3
Finland,FIN,2018,0,0,1,1,1,1,0,0,5,2
Finland,FIN,2016,0,1,0,1,0,2,0,0,1,3
Finland,FIN,2015,0,2,0,0,0,1,0,1,0,2
Finland,FIN,2014,0,0,0,0,0,0,0,0,0,0
Finland,FIN,2013,0,0,0,0,0,1,0,0,0,1
Finland,FIN,2011,0,0,0,0,1,2,0,0,0,1
Finland,FIN,2010,0,0,1,0,0,2,0,1,2,5
Finland,FIN,2012,0,0,2,0,0,0,0,3,1,3
France,FRA,2020,5,3,8,7,12,8,21,7,16,31
France,FRA,2017,2,1,4,3,3,18,11,4,15,34
France,FRA,2015,1,1,3,4,2,7,6,1,2,10
France,FRA,2011,0,0,0,1,1,3,2,0,2,8
France,FRA,2019,9,5,5,3,16,13,31,8,41,67
France,FRA,2018,10,5,4,6,8,18,29,11,14,62
France,FRA,2016,3,2,3,2,7,10,14,1,13,23
France,FRA,2014,1,1,4,2,0,5,7,2,4,12
France,FRA,2013,0,3,4,2,0,3,7,3,0,6
France,FRA,2012,0,2,4,2,0,2,6,4,3,11
France,FRA,2010,1,0,0,0,1,5,0,1,4,8
Germany,DEU,2020,4,17,3,4,7,11,29,7,20,47
Germany,DEU,2019,4,23,9,8,6,28,74,7,27,75
Germany,DEU,2018,15,34,8,8,17,27,104,17,51,96
Germany,DEU,2016,13,11,12,7,10,28,88,14,28,56
Germany,DEU,2017,11,31,13,13,12,23,118,14,49,85
Germany,DEU,2015,2,9,3,2,1,17,48,7,15,20
Germany,DEU,2014,0,5,5,4,1,6,29,3,3,8
Germany,DEU,2013,2,3,2,8,3,3,17,5,4,16
Germany,DEU,2012,2,4,2,4,1,5,9,1,4,11
Germany,DEU,2011,1,2,7,3,1,4,4,2,0,10
Germany,DEU,2010,2,1,4,2,1,2,9,2,3,6
Greece,GRC,2018,0,1,0,0,0,0,0,0,0,4
Greece,GRC,2017,0,1,0,0,0,0,0,1,1,4
Greece,GRC,2016,0,0,0,0,0,0,0,0,0,2
Greece,GRC,2014,0,0,0,0,0,1,0,0,0,1
Hong Kong,HKG,2019,0,0,0,0,0,0,0,0,0,0
Hong Kong,HKG,2018,1,0,0,0,0,0,0,1,0,0
Hong Kong,HKG,2017,0,0,0,0,0,1,0,0,0,0
Hong Kong,HKG,2016,0,0,0,1,0,0,2,0,3,2
Hong Kong,HKG,2011,0,0,0,0,0,0,0,0,0,0
Hungary,HUN,2015,0,0,0,0,0,6,2,0,0,3
Hungary,HUN,2018,0,0,0,0,0,1,0,0,0,1
Hungary,HUN,2017,0,0,0,1,0,1,0,1,3,2
Hungary,HUN,2016,1,2,0,1,0,1,2,1,2,1
Hungary,HUN,2014,0,0,0,0,1,0,0,0,1,0
Hungary,HUN,2013,0,0,0,0,0,2,0,0,0,2
Hungary,HUN,2012,0,0,0,0,0,0,0,0,0,1
Hungary,HUN,2011,0,1,0,0,0,1,0,0,0,0
India,IND,2019,0,0,0,0,2,0,0,0,1,4
India,IND,2018,4,8,1,6,12,15,11,23,23,113
India,IND,2017,8,8,2,1,9,27,11,31,39,127
India,IND,2016,1,2,2,1,5,18,4,23,23,67
India,IND,2015,3,2,2,0,2,13,2,14,12,44
India,IND,2014,0,0,0,0,3,4,1,7,6,15
India,IND,2013,1,2,3,2,2,8,1,4,2,18
India,IND,2011,1,0,0,0,0,1,0,4,2,6
India,IND,2012,1,1,0,0,0,1,0,6,3,8
India,IND,2010,0,0,0,0,1,1,0,0,2,3
Indonesia,IDN,2016,1,0,0,0,0,1,0,1,1,1
Iran,IRN,2018,0,0,0,0,1,0,0,0,1,1
Ireland,IRL,2016,0,0,0,0,0,1,0,0,0,1
Ireland,IRL,2012,0,0,0,0,1,3,0,0,0,0
Israel,ISR,2020,0,0,0,0,1,0,0,0,2,1
Israel,ISR,2019,0,0,0,0,1,0,1,0,0,2
Israel,ISR,2018,0,1,0,0,0,0,0,1,2,5
Israel,ISR,2017,1,2,0,0,2,0,5,1,4,4
Israel,ISR,2016,1,0,0,0,0,0,1,0,3,2
Israel,ISR,2014,0,0,0,0,0,0,0,1,1,1
Israel,ISR,2013,0,0,0,0,0,0,0,0,3,2
Israel,ISR,2015,0,0,0,0,2,2,1,2,4,7
Israel,ISR,2012,1,0,0,0,1,0,2,1,3,4
Israel,ISR,2011,0,0,0,0,0,0,0,0,1,0
Israel,ISR,2010,0,0,0,0,0,2,0,0,0,1
Italy,ITA,2020,0,0,0,0,0,0,0,0,0,1
Italy,ITA,2018,1,1,0,0,0,1,2,1,1,5
Italy,ITA,2017,0,1,1,0,0,8,6,2,4,4
Italy,ITA,2016,1,2,0,0,1,5,2,1,0,0
Italy,ITA,2019,2,0,1,0,0,3,3,1,4,6
Italy,ITA,2015,0,0,0,0,0,1,1,0,1,2
Italy,ITA,2014,0,1,1,0,0,0,1,0,1,0
Italy,ITA,2013,0,1,2,0,0,1,1,0,0,0
Italy,ITA,2012,0,2,0,0,0,1,1,0,0,0
Italy,ITA,2011,0,0,1,0,0,3,1,0,1,1
Italy,ITA,2010,0,0,0,0,0,2,0,2,2,2
Japan,JPN,2020,14,33,26,27,17,33,52,25,58,147
Japan,JPN,2019,49,142,56,74,45,206,202,142,239,575
Japan,JPN,2018,62,182,77,90,75,302,347,178,339,950
Japan,JPN,2017,57,167,67,41,66,258,354,168,276,773
Japan,JPN,2016,34,95,38,30,54,183,252,94,143,454
Japan,JPN,2015,15,45,50,25,16,117,139,51,69,241
Japan,JPN,2014,10,17,46,9,18,86,88,35,47,175
Japan,JPN,2013,4,17,11,8,10,71,29,28,45,103
Japan,JPN,2012,2,23,23,7,9,59,25,31,39,97
Japan,JPN,2011,8,6,15,5,6,47,9,18,22,64
Japan,JPN,2010,1,3,18,2,4,31,15,18,17,71
Kenya,KEN,2016,0,0,0,0,0,0,1,0,0,0
Lithuania,LTU,2020,0,0,0,0,1,0,0,0,1,0
Lithuania,LTU,2019,0,0,0,0,0,0,1,0,1,0
Lithuania,LTU,2018,0,0,0,0,0,0,0,0,0,1
Lithuania,LTU,2016,0,1,0,0,1,1,0,0,2,1
Lithuania,LTU,2015,1,1,0,0,0,3,0,1,0,2
Luxembourg,LUX,2018,0,0,0,1,0,0,0,0,0,1
Luxembourg,LUX,2017,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,2016,0,0,0,0,0,0,0,0,0,1
Malaysia,MYS,2018,1,0,0,0,0,1,1,1,1,2
Malaysia,MYS,2017,0,0,0,0,0,1,1,0,0,1
Malaysia,MYS,2016,0,0,0,0,0,0,1,0,2,0
Malaysia,MYS,2015,2,1,0,1,0,0,6,2,2,2
Malaysia,MYS,2014,0,0,1,0,0,2,0,0,0,2
Malaysia,MYS,2013,1,1,0,0,0,0,0,0,0,1
Malaysia,MYS,2012,0,0,2,0,0,0,1,1,1,2
Malaysia,MYS,2010,0,0,0,2,0,0,0,0,0,0
Mexico,MEX,2016,3,5,2,0,4,8,23,10,10,17
Mexico,MEX,2019,0,1,0,0,0,0,1,1,0,2
Mexico,MEX,2018,0,6,0,5,2,8,2,0,5,14
Mexico,MEX,2017,2,8,1,5,2,8,18,7,8,20
Mexico,MEX,2014,0,0,1,4,0,7,4,1,1,8
Mexico,MEX,2013,1,0,0,5,0,12,1,2,4,10
Mexico,MEX,2012,1,1,3,3,0,3,2,2,3,5
Mexico,MEX,2015,1,3,0,3,0,8,17,4,6,15
Mexico,MEX,2011,0,1,0,4,0,6,0,0,2,7
Mexico,MEX,2010,0,0,0,1,0,4,0,0,1,3
Morocco,MAR,2019,1,0,0,0,1,1,0,1,2,2
Morocco,MAR,2018,0,0,0,0,0,1,0,0,1,0
Morocco,MAR,2017,0,0,0,0,0,0,0,1,0,1
Morocco,MAR,2016,0,0,0,0,0,0,0,0,0,1
Morocco,MAR,2015,1,0,0,0,0,1,0,1,1,1
Morocco,MAR,2014,0,0,0,0,1,1,0,0,0,2
Morocco,MAR,2013,0,0,0,0,0,1,0,0,0,1
Netherlands,NLD,2020,1,2,0,0,1,3,1,2,0,5
Netherlands,NLD,2019,0,1,0,0,1,8,1,2,3,8
Netherlands,NLD,2018,0,1,0,0,1,3,0,0,1,4
Netherlands,NLD,2016,0,0,0,0,0,0,1,0,2,2
Netherlands,NLD,2014,0,0,0,0,0,1,0,0,0,1
Netherlands,NLD,2017,0,0,0,0,0,3,1,0,0,1
Netherlands,NLD,2015,0,0,0,0,1,2,0,0,1,3
Netherlands,NLD,2013,0,0,0,0,0,0,1,0,0,1
Netherlands,NLD,2012,0,1,0,0,0,1,1,0,0,0
Netherlands,NLD,2011,0,0,0,0,1,0,0,0,1,1
Netherlands,NLD,2010,0,0,0,0,0,0,0,0,0,1
New Zealand,NZL,2017,0,1,1,0,1,5,0,1,1,4
New Zealand,NZL,2019,0,0,0,0,0,2,0,0,0,0
New Zealand,NZL,2018,0,0,0,0,0,7,0,0,0,4
New Zealand,NZL,2015,2,1,1,2,1,3,1,1,1,7
New Zealand,NZL,2014,0,1,0,0,0,2,0,0,0,2
New Zealand,NZL,2012,0,0,0,1,0,4,0,0,1,1
New Zealand,NZL,2013,0,0,0,0,0,3,0,0,0,2
New Zealand,NZL,2011,0,0,0,0,0,2,0,0,0,1
New Zealand,NZL,2010,0,0,0,0,0,2,0,0,0,2
Norway,NOR,2020,0,0,0,1,0,0,0,0,0,1
Norway,NOR,2018,0,0,0,0,0,0,0,0,2,1
Norway,NOR,2017,0,0,0,0,0,0,1,0,0,0
Norway,NOR,2013,0,0,0,0,0,0,0,0,0,1
Norway,NOR,2012,0,0,1,1,0,0,1,0,0,1
Peru,PER,2019,0,0,0,0,0,0,0,0,0,0
Peru,PER,2018,0,0,0,0,0,1,0,0,0,0
Peru,PER,2016,0,0,0,1,0,0,0,0,1,0
Peru,PER,2015,0,0,0,1,0,1,0,0,0,1
Peru,PER,2012,0,0,0,0,0,0,0,0,0,0
Peru,PER,2011,0,1,0,1,0,1,0,0,0,0
Philippines,PHL,2018,0,0,0,0,0,0,0,1,0,0
Philippines,PHL,2015,1,0,0,0,0,0,0,1,1,1
Philippines,PHL,2017,0,0,0,0,0,0,0,1,0,1
Poland,POL,2019,0,1,0,0,1,0,0,0,3,1
Poland,POL,2018,0,1,0,0,1,1,1,0,2,4
Poland,POL,2017,1,1,0,1,0,1,2,0,2,4
Poland,POL,2016,0,0,0,0,0,4,2,0,1,2
Poland,POL,2015,1,3,1,0,0,3,2,1,1,3
Poland,POL,2014,0,1,0,0,0,2,0,0,0,2
Poland,POL,2013,0,0,0,0,0,2,0,0,0,2
Poland,POL,2012,0,0,1,1,0,1,0,0,0,2
Poland,POL,2011,0,0,0,0,0,0,1,1,1,0
Poland,POL,2010,1,0,1,0,0,0,1,0,1,2
Portugal,PRT,2020,0,0,0,0,0,1,0,0,0,0
Portugal,PRT,2018,0,1,0,0,0,1,1,0,0,2
Portugal,PRT,2019,0,0,0,0,0,0,0,0,0,1
Portugal,PRT,2017,0,1,0,0,0,2,2,0,2,2
Portugal,PRT,2016,0,1,0,1,1,2,1,0,3,1
Portugal,PRT,2015,0,0,0,0,0,4,1,0,2,1
Portugal,PRT,2014,0,0,1,0,0,0,0,1,0,1
Portugal,PRT,2012,0,0,0,0,0,0,0,0,0,1
Portugal,PRT,2010,1,0,0,0,0,0,0,0,1,1
Romania,ROU,2016,0,0,0,0,0,1,0,0,0,0
Russia,RUS,2019,0,0,0,0,3,0,4,7,6,22
Russia,RUS,2020,0,0,0,0,3,0,0,0,5,8
Russia,RUS,2018,1,2,1,2,14,4,7,3,18,51
Russia,RUS,2017,4,2,0,2,8,17,17,8,18,41
Russia,RUS,2016,2,3,1,2,8,18,12,4,16,31
Russia,RUS,2015,1,1,1,1,1,9,16,5,8,30
Russia,RUS,2014,0,0,0,4,1,10,5,2,3,16
Russia,RUS,2013,0,0,0,5,5,7,1,0,2,12
Russia,RUS,2012,0,0,2,4,2,13,1,3,1,15
Russia,RUS,2011,0,1,2,0,0,3,1,2,1,5
Russia,RUS,2010,0,1,1,1,1,8,1,1,1,7
Serbia,SRB,2018,0,1,0,0,0,0,1,0,0,0
Serbia,SRB,2015,1,1,0,0,0,0,0,1,0,1
Serbia,SRB,2017,0,1,0,0,0,0,1,0,0,0
Serbia,SRB,2016,0,0,0,0,0,1,0,0,0,0
Serbia,SRB,2013,0,0,0,0,0,0,0,0,1,1
Singapore,SGP,2020,3,0,0,0,4,0,2,5,3,9
Singapore,SGP,2019,14,3,0,1,6,9,4,11,15,35
Singapore,SGP,2018,11,5,3,9,13,17,9,10,27,48
Singapore,SGP,2017,7,4,0,3,7,15,7,14,22,31
Singapore,SGP,2016,5,2,1,3,7,6,3,11,12,27
Singapore,SGP,2015,3,2,1,4,2,9,1,4,6,15
Singapore,SGP,2014,2,0,1,1,0,7,0,1,2,12
Singapore,SGP,2013,1,0,0,3,0,12,0,2,2,7
Singapore,SGP,2012,1,1,1,0,0,3,1,4,1,6
Singapore,SGP,2011,0,1,0,0,0,1,0,1,1,3
Singapore,SGP,2010,0,1,1,1,0,7,1,0,0,6
Slovenia,SVN,2016,0,0,0,0,0,1,0,0,1,0
Slovenia,SVN,2015,1,1,0,0,0,1,0,1,0,2
Slovenia,SVN,2018,0,0,0,0,0,1,0,0,0,1
South Africa,ZAF,2018,0,0,1,0,0,0,0,1,0,1
South Africa,ZAF,2017,1,0,0,0,0,0,0,0,0,1
South Africa,ZAF,2016,0,0,0,0,0,0,0,1,0,1
South Africa,ZAF,2010,0,0,0,0,0,1,0,0,0,0
South Korea,KOR,2020,140,290,226,251,371,714,312,851,814,1151
South Korea,KOR,2019,144,326,245,175,272,577,408,685,851,1400
South Korea,KOR,2018,80,175,147,128,161,430,234,377,554,948
South Korea,KOR,2017,50,124,97,68,104,261,203,186,388,689
South Korea,KOR,2016,28,48,64,44,46,128,128,111,169,424
South Korea,KOR,2015,11,19,36,13,18,78,88,32,74,184
South Korea,KOR,2014,8,17,31,13,12,59,36,23,46,91
South Korea,KOR,2013,2,10,28,20,11,43,24,17,38,87
South Korea,KOR,2012,2,12,31,16,5,33,16,20,40,75
South Korea,KOR,2011,3,9,26,10,2,33,11,17,24,74
South Korea,KOR,2010,1,10,24,10,5,20,7,7,23,47
Spain,ESP,2018,1,2,2,1,1,6,8,0,10,10
Spain,ESP,2017,2,3,3,4,1,5,6,5,6,14
Spain,ESP,2016,0,5,2,5,1,15,7,1,8,15
Spain,ESP,2015,3,5,4,2,0,15,6,2,7,15
Spain,ESP,2014,1,2,0,2,3,9,2,0,6,11
Spain,ESP,2020,0,1,0,1,0,1,0,0,0,2
Spain,ESP,2012,0,0,3,2,2,6,1,1,5,10
Spain,ESP,2019,1,1,0,0,3,3,3,0,5,4
Spain,ESP,2013,0,0,1,1,1,10,2,1,2,7
Spain,ESP,2011,0,0,1,0,2,4,3,2,3,4
Spain,ESP,2010,1,2,2,1,0,6,1,1,6,4
Sri Lanka,LKA,2016,0,0,0,0,0,1,0,0,0,0
Sweden,SWE,2019,0,0,0,0,1,1,0,0,0,0
Sweden,SWE,2018,2,2,0,0,1,0,5,1,3,1
Sweden,SWE,2017,0,1,0,2,0,0,4,0,4,2
Sweden,SWE,2016,1,0,0,1,0,1,0,0,3,1
Sweden,SWE,2015,0,0,0,1,0,0,1,1,1,2
Sweden,SWE,2014,0,0,0,1,0,0,1,0,1,0
Sweden,SWE,2013,0,0,0,0,0,1,1,0,3,2
Sweden,SWE,2012,0,0,0,1,1,2,2,0,0,4
Sweden,SWE,2010,0,0,0,0,0,0,1,0,0,2
Sweden,SWE,2011,0,0,0,1,1,0,0,1,1,1
Switzerland,CHE,2016,1,0,1,1,0,0,1,0,0,0
Switzerland,CHE,2014,0,0,0,1,0,0,1,2,1,0
Switzerland,CHE,2012,0,0,1,1,0,0,0,0,0,0
Switzerland,CHE,2010,0,0,0,0,0,0,0,0,0,0
Taiwan,TWN,2020,1,0,0,0,7,19,0,2,19,49
Taiwan,TWN,2019,2,3,2,4,3,20,7,5,27,58
Taiwan,TWN,2018,6,7,3,3,6,25,7,6,18,66
Taiwan,TWN,2017,1,9,2,1,1,15,1,6,13,46
Taiwan,TWN,2016,2,6,2,1,2,10,7,4,13,25
Taiwan,TWN,2015,0,2,0,0,0,6,0,1,6,9
Taiwan,TWN,2014,0,1,0,0,0,5,0,4,1,6
Taiwan,TWN,2013,1,1,1,2,1,3,0,1,1,8
Taiwan,TWN,2012,0,0,3,1,2,2,1,2,6,9
Taiwan,TWN,2011,1,1,3,2,0,1,0,0,0,7
Taiwan,TWN,2010,0,0,1,0,0,0,0,3,0,1
Turkey,TUR,2017,0,1,0,0,0,1,0,0,0,1
Turkey,TUR,2016,1,0,0,0,0,0,1,1,0,0
Turkey,TUR,2015,0,0,0,0,0,0,1,0,1,2
Turkey,TUR,2014,0,0,0,0,0,0,0,0,1,0
Turkey,TUR,2013,0,0,0,0,0,1,0,1,1,0
Ukraine,UKR,2017,0,0,0,0,0,0,1,0,0,0
Ukraine,UKR,2013,0,0,0,0,0,1,0,0,0,2
Ukraine,UKR,2015,0,0,0,0,0,1,0,0,0,3
United Kingdom,GBR,2020,1,3,1,3,5,1,7,2,15,32
United Kingdom,GBR,2019,4,7,6,15,15,15,23,7,38,77
United Kingdom,GBR,2018,6,14,4,20,9,27,23,21,37,78
United Kingdom,GBR,2016,7,10,1,5,17,16,15,22,32,70
United Kingdom,GBR,2014,2,1,3,3,0,10,5,2,7,18
United Kingdom,GBR,2017,5,10,5,16,13,22,25,14,31,83
United Kingdom,GBR,2015,2,2,4,10,5,7,6,8,14,29
United Kingdom,GBR,2013,0,2,3,8,2,8,4,6,10,28
United Kingdom,GBR,2012,2,0,1,2,2,6,4,5,1,15
United Kingdom,GBR,2011,3,1,1,1,2,3,0,5,7,10
United Kingdom,GBR,2010,1,0,0,1,0,2,2,2,2,7
United States,USA,2020,298,122,75,96,415,420,355,716,1529,3146
United States,USA,2019,445,257,140,171,699,788,990,1052,2335,5376
United States,USA,2018,417,296,172,211,711,951,1301,1079,2416,5652
United States,USA,2017,369,272,145,183,537,830,1060,1015,1989,4314
United States,USA,2016,220,168,97,110,367,631,740,752,1200,2665
United States,USA,2015,125,94,69,87,187,479,346,426,738,1672
United States,USA,2014,61,53,63,58,122,316,167,295,496,1057
United States,USA,2013,42,56,53,51,81,284,112,254,352,847
United States,USA,2012,37,37,69,48,61,211,98,229,220,627
United States,USA,2011,26,30,49,44,58,169,57,173,189,535
United States,USA,2010,22,24,38,23,37,193,49,154,148,439
Uruguay,URY,2017,0,1,0,0,0,0,0,0,0,0
World,OWID_WRL,2020,751,1255,1318,965,1527,2290,1679,3218,4848,13813
World,OWID_WRL,2019,881,1427,1200,921,1489,2785,2354,3212,5529,14356
World,OWID_WRL,2018,863,1237,1010,858,1416,2786,2689,2899,5224,13689
World,OWID_WRL,2017,708,985,719,558,998,2143,2335,2167,3951,10124
World,OWID_WRL,2016,406,581,492,364,687,1594,1653,1436,2269,6076
World,OWID_WRL,2015,219,282,319,241,301,1054,863,710,1249,3119
World,OWID_WRL,2014,97,154,271,144,193,709,426,445,742,1824
World,OWID_WRL,2013,63,133,164,158,134,640,239,370,544,1408
World,OWID_WRL,2012,57,109,214,127,107,470,189,356,396,1062
World,OWID_WRL,2011,46,78,151,109,86,371,108,251,302,837
World,OWID_WRL,2010,31,64,118,67,59,355,95,219,239,727
