Type,GamesUrl,Disciplines,DisciplinesList,Country,Date,Athletes,Countries,Events,City,Year
summergames,https://www.olympic.org/melbourne-stockholm-1956,23,"['Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Hockey', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']","Australia, Sweden",22 Nov - 08 Dec,3314,72,151,Melbourne - Stockholm ,1956
wintergames,https://www.olympic.org/cortina-d-ampezzo-1956,8,"['Alpine Skiing', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Italy,26 Jan - 05 Feb,821,32,24,Cortina d'Ampezzo ,1956
wintergames,https://www.olympic.org/squaw-valley-1960,8,"['Alpine Skiing', 'Biathlon', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",United States of America,18 Feb - 28 Feb,665,30,27,Squaw Valley ,1960
summergames,https://www.olympic.org/rome-1960,23,"['Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Hockey', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Italy,25 Aug - 11 Sep,5338,83,150,Rome ,1960
wintergames,https://www.olympic.org/innsbruck-1964,10,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Austria,29 Jan - 09 Feb,1091,36,34,Innsbruck ,1964
summergames,https://www.olympic.org/tokyo-1964,25,"['Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Jumping', 'Equestrian / Eventing', 'Fencing', 'Football', 'Gymnastics Artistic', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Japan,10 Oct - 24 Oct,5151,93,163,Tokyo ,1964
wintergames,https://www.olympic.org/grenoble-1968,10,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",France,06 Feb - 18 Feb,1158,37,35,Grenoble ,1968
summergames,https://www.olympic.org/mexico-1968,24,"['Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Hockey', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Mexico,12 Oct - 27 Oct,5516,112,172,Mexico ,1968
wintergames,https://www.olympic.org/sapporo-1972,10,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Japan,03 Feb - 13 Feb,1006,35,35,Sapporo ,1972
summergames,https://www.olympic.org/munich-1972,28,"['Archery', 'Athletics', 'Basketball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Germany,26 Aug - 11 Sep,7134,121,195,Munich ,1972
summergames,https://www.olympic.org/montreal-1976,27,"['Archery', 'Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Canada,17 Jul - 01 Aug,6084,92,198,Montreal ,1976
wintergames,https://www.olympic.org/innsbruck-1976,10,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Austria,04 Feb - 15 Feb,1123,37,37,Innsbruck ,1976
summergames,https://www.olympic.org/moscow-1980,27,"['Archery', 'Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",USSR,19 Jul - 03 Aug,5179,80,203,Moscow ,1980
wintergames,https://www.olympic.org/lake-placid-1980,10,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",United States of America,13 Feb - 24 Feb,1072,37,38,Lake Placid ,1980
wintergames,https://www.olympic.org/sarajevo-1984,10,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Yugoslavia,08 Feb - 19 Feb,1272,49,39,Sarajevo ,1984
summergames,https://www.olympic.org/los-angeles-1984,29,"['Archery', 'Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Synchronized Swimming', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",United States of America,28 Jul - 12 Aug,6829,140,221,Los Angeles ,1984
summergames,https://www.olympic.org/seoul-1988,31,"['Archery', 'Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Tennis', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Republic of Korea,17 Sep - 02 Oct,8397,159,237,Seoul ,1988
wintergames,https://www.olympic.org/calgary-1988,10,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Canada,13 Feb - 28 Feb,1423,57,46,Calgary ,1988
wintergames,https://www.olympic.org/albertville-1992,12,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track Speed Skating', 'Ski Jumping', 'Speed skating']",France,08 Feb - 23 Feb,1801,64,57,Albertville ,1992
summergames,https://www.olympic.org/barcelona-1992,34,"['Archery', 'Athletics', 'Badminton', 'Baseball', 'Basketball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Tennis', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Spain,25 Jul - 09 Aug,9356,169,257,Barcelona ,1992
wintergames,https://www.olympic.org/lillehammer-1994,12,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track Speed Skating', 'Ski Jumping', 'Speed skating']",Norway,12 Feb - 27 Feb,1737,67,61,Lillehammer ,1994
summergames,https://www.olympic.org/atlanta-1996,37,"['Archery', 'Athletics', 'Badminton', 'Baseball', 'Basketball', 'Beach Volleyball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling Mountain Bike', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Softball', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Tennis', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",United States of America,19 Jul - 04 Aug,10318,197,271,Atlanta ,1996
wintergames,https://www.olympic.org/nagano-1998,14,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Curling', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track Speed Skating', 'Ski Jumping', 'Snowboard', 'Speed skating']",Japan,07 Feb - 22 Feb,2176,72,68,Nagano ,1998
summergames,https://www.olympic.org/sydney-2000,40,"['Archery', 'Athletics', 'Badminton', 'Baseball', 'Basketball', 'Beach Volleyball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling Mountain Bike', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Softball', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Taekwondo', 'Tennis', 'Trampoline', 'Triathlon', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Australia,15 Sep - 01 Oct,10651,199,300,Sydney ,2000
wintergames,https://www.olympic.org/salt-lake-city-2002,15,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Curling', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track Speed Skating', 'Skeleton', 'Ski Jumping', 'Snowboard', 'Speed skating']",United States of America,08 Feb - 24 Feb,2399,77,78,Salt Lake City ,2002
summergames,https://www.olympic.org/athens-2004,40,"['Archery', 'Athletics', 'Badminton', 'Baseball', 'Basketball', 'Beach Volleyball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling Mountain Bike', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Softball', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Taekwondo', 'Tennis', 'Trampoline', 'Triathlon', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Greece,13 Aug - 29 Aug,10625,201,301,Athens ,2004
wintergames,https://www.olympic.org/turin-2006,15,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Curling', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track Speed Skating', 'Skeleton', 'Ski Jumping', 'Snowboard', 'Speed skating']",Italy,10 Feb - 26 Feb,2508,80,84,Turin ,2006
summergames,https://www.olympic.org/beijing-2008,41,"['Archery', 'Athletics', 'Badminton', 'Baseball', 'Basketball', 'Beach Volleyball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling BMX', 'Cycling Mountain Bike', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Softball', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Taekwondo', 'Tennis', 'Trampoline', 'Triathlon', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",People's Republic of China,08 Aug - 24 Aug,10942,204,302,Beijing ,2008
youthgames,https://www.olympic.org/singapore-2010,0,[],Singapore,14 Aug - 26 Aug,3524,204,201,Singapore ,2010
wintergames,https://www.olympic.org/vancouver-2010,15,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Curling', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track Speed Skating', 'Skeleton', 'Ski Jumping', 'Snowboard', 'Speed skating']",Canada,12 Feb - 28 Feb,2566,82,86,Vancouver ,2010
youthgames,https://www.olympic.org/innsbruck-2012,0,[],Austria,13 Jan - 22 Jan,1022,69,63,Innsbruck ,2012
summergames,https://www.olympic.org/london-2012,36,"['Archery', 'Athletics', 'Badminton', 'Basketball', 'Beach Volleyball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling BMX', 'Cycling Mountain Bike', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian', 'Fencing', 'Football', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Taekwondo', 'Tennis', 'Trampoline', 'Triathlon', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling']",Great Britain,27 Jul - 12 Aug,10568,204,302,London ,2012
wintergames,https://www.olympic.org/sochi-2014,15,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Curling', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track Speed Skating', 'Skeleton', 'Ski Jumping', 'Snowboard', 'Speed skating']",Russian Federation,07 Feb - 23 Feb,2780,88,98,Sochi ,2014
youthgames,https://www.olympic.org/nanjing-2014,0,[],People's Republic of China,16 Aug - 28 Aug,3579,203,222,Nanjing ,2014
youthgames,https://www.olympic.org/lillehammer-2016,0,[],Norway,12 Feb - 21 Feb,1067,71,70,Lillehammer ,2016
summergames,https://www.olympic.org/rio-2016,39,"['Archery', 'Athletics', 'Badminton', 'Basketball', 'Beach Volleyball', 'Boxing', 'Canoe Slalom', 'Canoe Sprint', 'Cycling BMX', 'Cycling Mountain Bike', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian', 'Fencing', 'Football', 'Golf', 'Gymnastics Artistic', 'Gymnastics Rhythmic', 'Handball', 'Hockey', 'Judo', 'Marathon Swimming', 'Modern Pentathlon', 'Rowing', 'Rugby', 'Sailing', 'Shooting', 'Swimming', 'Synchronized Swimming', 'Table Tennis', 'Taekwondo', 'Tennis', 'Trampoline', 'Triathlon', 'Volleyball', 'Water Polo', 'Weightlifting', 'Wrestling']",Brazil,05 Aug - 21 Aug,11238,207,306,Rio ,2016
wintergames,https://www.olympic.org/pyeongchang-2018,15,"['Alpine Skiing', 'Biathlon', 'Bobsleigh', 'Cross Country Skiing', 'Curling', 'Figure skating', 'Freestyle Skiing', 'Ice Hockey', 'Luge', 'Nordic Combined', 'Short Track', 'Skeleton', 'Ski Jumping', 'Snowboard', 'Speed skating']",Republic of Korea,09 Feb - 25 Feb,2833,92,102,PyeongChang ,2018
youthgames,https://www.olympic.org/buenos-aires-2018,0,[],Argentina,06 Oct - 18 Oct,4000,206,239,Buenos Aires ,2018
summergames,https://www.olympic.org/tokyo-2020,0,[],Japan,23 Jul - 08 Aug,,,,Tokyo ,2020
youthgames,https://www.olympic.org/lausanne-2020,0,[],Switzerland,09 Jan - 22 Jan,1872,79,81,Lausanne ,2020
wintergames,https://www.olympic.org/beijing-2022,0,[],People's Republic of China,04 Feb - 20 Feb,,,,Beijing ,2022
youthgames,https://www.olympic.org/dakar-2022,0,[],Senegal,22 Oct - 09 Nov,,,,Dakar ,2022
summergames,https://www.olympic.org/paris-2024,0,[],France,26 Jul - 11 Aug,,,,Paris ,2024
wintergames,https://www.olympic.org/milano-cortina-2026,0,[],Italy,,,,,Milano Cortina ,2026
summergames,https://www.olympic.org/la-2028,0,[],United States of America,,,,,LA ,2028
