ID,RecorderName,Date,DateAccuracy,Time,TimeAccuracy,PathName,SubPathName,AffectRoad,HitRoad,RoadPlowed,TimeToClear,RoadDamageLength,AvalancheType,AvalancheTrigger,AvalancheBedSurface,PercentPath,PercentSubPath,HorizStartZoneLoc,VertStartZoneLoc,SizeRelativetoPath,SizeDestructiveForce,ObservationPoint,MaxCrownDepth,AveCrownDepth,CrownWidth,StartElevationFeet,VerticalRunFeet,StartZoneAspect,StartZoneSlope,StartZoneAlpha,RoadBurialLength,RoadBurialDepth,Comments
49,Lundy,4/6/2004,Approximate,NA,NA,Peak 7774,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2,Distant,NA,NA,NA,7500,500,70,NA,NA,N/A,N/A,"glide avalanche 2/5 on this ridge

From Lundy notebook 4/7:
""S. Ridge Geduhn (pt 7774') 4-5 glide Ax, d2, E-SE, 600' vert""

From Reardon notebook 4/7:
""5 class 2.5 glide avalanches on ridge SE of Geduhn - debris very white - yesterday? Were not there on Saturday's overflight. PT 7774, next point W (pt 7850) 2 E-NE facing slopes ~ 7500' elev ran ~ 800 vertical feet""

This below saddle NE of summit
Date, elev, vert run, aspect adjusted from notes & photos 11/20/06 br"
50,Lundy,4/4/2004,Approximate,NA,NA,Peak 7774,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,Middle,Top,NA,2,Distant,NA,NA,NA,7625,600,85,NA,NA,N/A,N/A,"glide avalanche 3/5 on this ridge

Noted 4-7; from phots on 4-7, esp earlier photo, appears that this slide older - no snow on bed surface, debris faint. 

This slide just E and just below summit pt 7774.

Elev, aspect adjusted from photos, topo 11-20-06 br."
51,Lundy,4/6/2004,Approximate,NA,NA,Peak 7774,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,Middle,Top,NA,2,Distant,NA,NA,NA,7500,720,65,NA,NA,N/A,N/A,"glide avalanche 4/5 on this ridge


From Lundy notebook 4/7:
""S. Ridge Geduhn (pt 7774') 4-5 glide Ax, d2, E-SE, 600' vert""

From Reardon notebook 4/7:
""5 class 2.5 glide avalanches on ridge SE of Geduhn - debris very white - yesterday? Were not there on Saturday's overflight. PT 7774, next point W (pt 7850) 2 E-NE facing slopes ~ 7500' elev ran ~ 800 vertical feet""

This slide highest, just NE of summit
Date, elev, vert run, aspect adjusted from notes & photos 11/20/06 br"
52,Lundy,4/6/2004,Approximate,NA,NA,Peak 7774,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,Left,Bottom,NA,2,Distant,NA,NA,NA,7240,450,75,NA,NA,N/A,N/A,"glide avalanche 5/5 on this ridge

From Lundy notebook 4/7:
""S. Ridge Geduhn (pt 7774') 4-5 glide Ax, d2, E-SE, 600' vert""

From Reardon notebook 4/7:
""5 class 2.5 glide avalanches on ridge SE of Geduhn - debris very white - yesterday? Were not there on Saturday's overflight. PT 7774, next point W (pt 7850) 2 E-NE facing slopes ~ 7500' elev ran ~ 800 vertical feet""

This slide lowest, most SWesterly of slides.
Date, elev, vert run, aspect adjusted from photos 11/20/06 br"
53,Lundy,4/6/2004,Approximate,NA,NA,Peak 8015,below peak,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2.5,Distant,NA,NA,NA,7850,1050,25,NA,NA,N/A,N/A,"From Lundy notebook 4-7:
Below Geduhn Glide Ax, D2.5, 800' vert""

From Reardon notebook 4-7:
""Alsoe glide avalanche Class 2.5 on Mt. Geduhn just SE of summit - more E facing slope?""

Sketch and photo show on pt. 8015; bed surface shows soome snow in earliest 4-7 photo.

Date, elev, vert run adjusted 11-20-06 br"
55,Lundy,4/4/2004,Approximate,NA,NA,Granite Creek,south of Grinnell Overlook,Yes,No,No,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2,Adjacent,NA,NA,NA,7250,550,225,NA,NA,N/A,N/A,"glide avalanche 1/2

From Lundy notebook 4-7:
""GS, D2 x2 Bowl betweeen Grinnel Overlook and WX station, SW, ~7000', 500' vert New since 4/3""

From Reardon notebook 4-7:
""2 class 2 glide avalanches in bowl between Grinnell Overlook & Garden Wall wx station - debris looks fresh - not there in Saturday's over[flight] Unsupported rocky slopes  - failed last year. Debris ran ~ 500' for larger of 2. ~7100' SW""

Elev, vert fall adjusted from topo 11-20-06 br"
56,Lundy,4/4/2004,Approximate,NA,NA,Granite Creek,south of Grinnell Overlook,Yes,No,No,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2,Adjacent,NA,NA,NA,7175,500,225,NA,NA,N/A,N/A,"glide avalanche 2/2

From Lundy notebook 4-7:
""GS, D2 x2 Bowl betweeen Grinnel Overlook and WX station, SW, ~7000', 500' vert New since 4/3""

From Reardon notebook 4-7:
""2 class 2 glide avalanches in bowl between Grinnell Overlook & Garden Wall wx station - debris looks fresh - not there in Saturday's over[flight] Unsupported rocky slopes  - failed last year. Debris ran ~ 500' for larger of 2. ~7100' SW"""
57,Lundy,4/1/2004,Approximate,NA,NA,Greater Granite,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2,Distant,2,2,2,7375,850,225,NA,NA,N/A,N/A,"From Lundy notebook 4-7:
""GS, D2 above Granite Park ~ 7200' SW before 4/3""

Visible in photo from overflight.
Elev, crown width and depth, vert fall adjusted from photo 11-20-06 br"
58,Lundy,4/4/2004,Approximate,NA,NA,Geduhn-Trapper Ridge,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,1.5,Distant,NA,NA,NA,7400,NA,135,NA,NA,N/A,N/A,"From Reardon notebook 4-7:
""Class 1.5 glide release just SW of Trapper Pk""

Elev adjusted from topo 11-20-06 br"
59,Lundy,1/26/2004,Approximate,NA,NA,Heavens Gate,middle,Yes,Yes,No,0.2,NA,NA,N,NA,NA,NA,Middle,Top,5,4,Adjacent,NA,NA,NA,8000,4500,60,NA,21,90,5,"-date very approximate
-most likely middle bowl
-some information is educated guess: type, elevations, etc
-this avalanche extended path, removing trees on both side of mcdonald creek
-trees on east side of road are flagged up to 20 feet in height
-small portion of debris also came down gully south of main path
-ran significantly farther than May 25, 2003 glide avalanche in north bowl

Date given by wolverine researcher Alex Hasson based on notes from winter in Avalanche Ck ranger station. Said to be accurate within 1-2 days. Flattop SNOTEL recorded 4.5"" of SWE 1/26-30; suspect slide occurred towards end of this cycle rather than start."
60,Lundy,4/15/2004,Actual,NA,NA,Mt. Geduhn,Between Points 8015 and 7774,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2.5,Distant,3,3,3,7520,600,50,NA,NA,N/A,N/A,"possible rain-on-snow release

From Reardon notebook 4-15: 
""New glide avalanche btwn pt 8015 & pt 7774. N-G-2.5-G Debris fresh, no fresh snow on bed surface. 4-15? 4-14? Pt 8015 elev ~ 7600' ENE 600' vert Rain-on-snow trigger? Deep rt flank - 10'+?""

From Lundy notebook 4-15:
""-GS-D2.5 between pt 7774 & pt 8015, ENE asp, start 7600' --->600' Looks fresh since new snow, late 4/14, early 4/15 ---> GS after rain-on-snow?"" Diagram.

Crown depth & width estimated from photo & topo 11/28/06 br"
61,Lundy,4/14/2004,Actual,NA,NA,Peak 7774,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,1,Distant,NA,NA,NA,7550,500,60,NA,NA,N/A,N/A,"small glide calve
rain-on-snow release

From Reardon notebook 4-15:
""Pt 774 - calve release n-G-1.5-G ~7500' elev, ~500' vert fall.""
""Repeat offenders""

From Lundy notebook 4-15:
""Pt 7774 GS-D1 small calve ENE 7500' --> 500' Same timing as above.""

From photo, appears to be more snow on bed surface & therefore ran earlier?"
62,Lundy,4/16/2004,Approximate,NA,NA,Heavens Peak East Ridge,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2,Distant,1.5,1.5,1.5,6800,500,10,NA,NA,N/A,N/A,"-involved cornice on ridge, either as trigger or part of glide slab

From Lundy notebook 4-22:
""E. Ridge on Heavens GS-D2, debris & bedsfc. Covered in new snow, start 6880' --->500', N. asp. 4-5' deep involved cornice. Date? Before new snow.""

From Reardon notebook 4-22:
""Recent glide failure E. Ridge of heavens N-G-2-G cornice failure as trigger? ~ 6800' N facing rock slab bedrock ~ 500' vert ~ 5' deep lookers' right. Appears to have stepped out lookers left. Recent snow on bed surface.. 4-15? 4-16?"" Diagram."
63,Lundy,4/16/2004,Approximate,NA,NA,Peak 7850,NA,No,N/A,N/A,N/A,N/A,WL,N,O,NA,NA,NA,NA,NA,2,Distant,NA,NA,NA,7800,800,90,NA,NA,N/A,N/A,NA
64,Lundy,4/21/2004,Approximate,NA,NA,Greater Granite,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2.5,Distant,NA,NA,NA,7200,700,225,NA,NA,N/A,N/A,"Debris looked fresh - last 48 hours? Lots of other cracks in adjacent slopes - at base of rock bands.

From Lundy notebook 4-22:
""Glide area > granite Park GS calve/ WL D2.5 4-21? 7200' ---> 700"" SW""

From Reardon notebook 4-22:
""N-G-2.5-G in Granite park - calve? Debris looks fresh - last 48 hours? Lots of other cracks in adjacent slopes - at base of rock bands - 4-21-04? ~ 700 vert ft 7200"" SW aspect"""
66,Lundy,4/21/2004,Approximate,NA,NA,Mt. Cannon,West Bowl,Yes,No,Yes,N/A,N/A,WL,N,O,NA,NA,NA,NA,NA,3,Distant,NA,NA,NA,6800,1000,0,NA,NA,N/A,N/A,NA
68,Lundy,4/21/2004,Approximate,NA,NA,Big Bend,North Bowl,Yes,No,No,N/A,N/A,WL,N,O,NA,NA,NA,NA,NA,2,Distant,NA,NA,NA,7600,NA,225,NA,NA,N/A,N/A,NA
